id,latitude,longitude,property_type,room_type,bedrooms,availability_90,review_scores_rating,suburb,price,has_kitchen,has_Wifi,has_ACHeat,has_parking,has_selfcheckin,is_shared,num_baths,availability_30,availability days in 60 days,accommodates,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,has_washer
21555438,-37.75739,145.68279,Entire home,Entire home/apt,3,27,4.95,Warburton,188,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,11,27,6,4.94,4.98,4.97,4.96,4.89,FALSE
21431013,-37.81469,144.95487,Entire rental unit,Entire home/apt,2,54,4.3,Melbourne,144,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,2,17,37,8,4.26,4.41,4.33,4.76,4.42,TRUE
21555736,-37.80483,144.96391,Entire rental unit,Entire home/apt,2,19,4.85,Carlton,198,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,4,7,6,4.84,4.68,4.93,4.94,4.77,TRUE
21432503,-37.85963,145.01815,Entire rental unit,Entire home/apt,3,3,4.91,Armadale,280,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,3,3,6,4.89,4.89,5,4.86,4.75,TRUE
21557659,-37.82744,144.95961,Other,Entire home/apt,2,48,4.86,Southbank,221,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,2,8,21,6,4.88,4.8,4.99,4.93,4.87,FALSE
21437405,-37.79904,145.10595,Other,Entire home/apt,2,0,4.92,Mont Albert North,200,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,6,4.94,4.97,4.98,4.9,4.97,TRUE
21438125,-37.80221,144.96806,Other,Entire home/apt,1,83,4.95,Carlton,235,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,29,54,2,4.97,4.98,5,4.98,4.84,TRUE
21558542,-37.73199,145.01644,Private room in home,Private room,,77,5,Preston,109,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,2,17,47,1,5,5,5,4.87,4.96,FALSE
21438689,-37.82694,144.98925,Entire rental unit,Entire home/apt,1,0,4.75,Cremorne,129,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,4,4.75,4.75,5,4.75,4.75,TRUE
21439139,-37.78499,144.95651,Entire rental unit,Entire home/apt,2,63,4.84,Parkville,192,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,13,39,4,4.78,4.91,4.91,4.89,4.76,FALSE
21566675,-37.84686,144.94636,Entire home,Entire home/apt,3,0,,Albert Park,400,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,0,0,5,,,,,,TRUE
21440259,-37.8208,144.95719,Entire rental unit,Entire home/apt,1,0,0,Melbourne,90,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,1,,,,,,TRUE
21566729,-37.81463,144.95522,Entire rental unit,Entire home/apt,2,74,4.65,Melbourne,169,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,14,44,4,4.68,4.69,4.72,4.94,4.68,FALSE
21566933,-37.82367,144.96655,Entire condo,Entire home/apt,2,0,5,Southbank,120,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,2,5,5,5,4.67,4.67,TRUE
21441432,-37.82135,144.94344,Private room in rental unit,Private room,,0,4.88,Docklands,50,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,0,2,4.94,5,5,4.94,4.94,TRUE
21567053,-37.80113,144.98438,Private room in rental unit,Private room,,75,4.93,Collingwood,94,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,22,49,1,4.86,4.81,4.98,4.95,4.81,TRUE
21442242,-37.86189,145.00564,Entire rental unit,Entire home/apt,2,0,5,St Kilda East,125,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,4,5,4.5,5,4.5,4.5,TRUE
21579803,-37.80797,144.96149,Entire rental unit,Entire home/apt,1,0,5,Melbourne,82,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,4,5,5,5,5,5,TRUE
